Word	Label	Book	Chapter	Line
الفصل	3	0	2	0
الثاني	3	0	2	0

«	3	0	2	1
وكان	3	0	2	1
صباح	3	0	2	1
.	3	0	2	1
.	3	0	2	1

يوما	3	0	2	1
واحدا	3	0	2	1
»	3	0	2	1

قضى	3	0	2	2
فتانا	3	0	2	2
إبراهيم	3	0	2	2
—	3	0	2	2
وهذا	3	0	2	2
اسمه	3	0	2	2
—	3	0	2	2
ليلة	3	0	2	2
هادئة	3	0	2	2
عميقة	3	0	2	2
النوم	3	0	2	2
إذا	3	0	2	2
استثنينا	4	0	2	2
حلما	3	0	2	2
قصيرا	3	0	2	2
ركب	3	0	2	2
فيه	3	0	2	2
جوادا	3	0	2	2
بلا	3	0	2	2
لجام	4	0	2	2
جمح	5	0	2	2
به	3	0	2	2
في	3	0	2	2
طريق	3	0	2	2
وعر	4	0	2	2
،	3	0	2	2

ينحدر	3	0	2	2
على	3	0	2	2
أحد	3	0	2	2
جانبيه	3	0	2	2
نهر	3	0	2	2
جائش	5	0	2	2
،	3	0	2	2

وتعترضه	3	0	2	2
في	3	0	2	2
بعض	3	0	2	2
المواضيع	3	0	2	2
أقنية	3	0	2	2
تختلف	3	0	2	2
ضيقا	4	0	2	2
وسعة	4	0	2	2
،	3	0	2	2

عليها	3	0	2	2
ألواح	3	0	2	2
من	3	0	2	2
الخشب	3	0	2	2
،	3	0	2	2

وقف	3	0	2	2
الجواد	3	0	2	2
الخبيث	3	0	2	2
فجأة	3	0	2	2
،	3	0	2	2

فوق	3	0	2	2
واحدة	3	0	2	2
منها	3	0	2	2
وأهوى	5	0	2	2
برأسه	5	0	2	2
وقادمتيه	5	0	2	2
إلى	3	0	2	2
الماء	3	0	2	2
ليشرب	3	0	2	2
!	3	0	2	2

وبدأ	3	0	2	3
الصبح	3	0	2	3
بأصوات	3	0	2	3
العصافير	3	0	2	3
.	3	0	2	3

فنهض	3	0	2	3
ثم	3	0	2	3
لبس	3	0	2	3
حذاءه	3	0	2	3
ومعطفه	3	0	2	3
وطربوشه	3	0	2	3
،	3	0	2	3

وخرج	3	0	2	3
متسللا	3	0	2	3
كاللص	3	0	2	3
.	3	0	2	3

وكانت	3	0	2	3
السماء	3	0	2	3
غائمة	3	0	2	3
،	3	0	2	3

والجو	3	0	2	3
مطلولا	5	0	2	3
لا	3	0	2	3
تخلص	3	0	2	3
معه	3	0	2	3
الأنفاس	3	0	2	3
.	3	0	2	3

وكان	3	0	2	3
هو	3	0	2	3
يكره	3	0	2	3
الرطوبة	3	0	2	3
ويتقيها	3	0	2	3
ويشفق	3	0	2	3
من	3	0	2	3
عواقب	4	0	2	3
التعرض	3	0	2	3
لها	3	0	2	3
،	3	0	2	3

وكثيرا	3	0	2	3
ما	3	0	2	3
ثنته	4	0	2	3
عما	3	0	2	3
يقصد	3	0	2	3
إليه	3	0	2	3
،	3	0	2	3

ولكن	3	0	2	3
منظر	3	0	2	3
الحقول	3	0	2	3
في	3	0	2	3
هذه	3	0	2	3
الساعة	3	0	2	3
قبل	3	0	2	3
