,Word,Label,Book,Chapter,Line
0,الفصل,3,0,2.0,0
1,الثاني,3,0,2.0,0
3,وكان,3,0,2.0,1
4,صباح,3,0,2.0,1
7,يوما,3,0,2.0,1
8,واحدا,3,0,2.0,1
10,قضى,3,0,2.0,2
11,فتانا,3,0,2.0,2
12,إبراهيم,3,0,2.0,2
13,—,3,0,2.0,2
14,وهذا,3,0,2.0,2
15,اسمه,3,0,2.0,2
16,—,3,0,2.0,2
17,ليلة,3,0,2.0,2
18,هادئة,3,0,2.0,2
19,عميقة,3,0,2.0,2
20,النوم,3,0,2.0,2
21,إذا,3,0,2.0,2
22,استثنينا,4,0,2.0,2
23,حلما,3,0,2.0,2
24,قصيرا,3,0,2.0,2
25,ركب,3,0,2.0,2
26,فيه,3,0,2.0,2
27,جوادا,3,0,2.0,2
28,بلا,3,0,2.0,2
29,لجام,4,0,2.0,2
30,جمح,5,0,2.0,2
31,به,3,0,2.0,2
32,في,3,0,2.0,2
33,طريق,3,0,2.0,2
34,وعر,4,0,2.0,2
36,ينحدر,3,0,2.0,2
37,على,3,0,2.0,2
38,أحد,3,0,2.0,2
39,جانبيه,3,0,2.0,2
40,نهر,3,0,2.0,2
41,جائش,5,0,2.0,2
43,وتعترضه,3,0,2.0,2
44,في,3,0,2.0,2
45,بعض,3,0,2.0,2
46,المواضيع,3,0,2.0,2
47,أقنية,3,0,2.0,2
48,تختلف,3,0,2.0,2
49,ضيقا,4,0,2.0,2
50,وسعة,4,0,2.0,2
52,عليها,3,0,2.0,2
53,ألواح,3,0,2.0,2
54,من,3,0,2.0,2
55,الخشب,3,0,2.0,2
57,وقف,3,0,2.0,2
58,الجواد,3,0,2.0,2
59,الخبيث,3,0,2.0,2
60,فجأة,3,0,2.0,2
62,فوق,3,0,2.0,2
63,واحدة,3,0,2.0,2
64,منها,3,0,2.0,2
65,وأهوى,5,0,2.0,2
66,برأسه,5,0,2.0,2
67,وقادمتيه,5,0,2.0,2
68,إلى,3,0,2.0,2
69,الماء,3,0,2.0,2
70,ليشرب,3,0,2.0,2
72,وبدأ,3,0,2.0,3
73,الصبح,3,0,2.0,3
74,بأصوات,3,0,2.0,3
75,العصافير,3,0,2.0,3
77,فنهض,3,0,2.0,3
78,ثم,3,0,2.0,3
79,لبس,3,0,2.0,3
80,حذاءه,3,0,2.0,3
81,ومعطفه,3,0,2.0,3
82,وطربوشه,3,0,2.0,3
84,وخرج,3,0,2.0,3
85,متسللا,3,0,2.0,3
86,كاللص,3,0,2.0,3
88,وكانت,3,0,2.0,3
89,السماء,3,0,2.0,3
90,غائمة,3,0,2.0,3
92,والجو,3,0,2.0,3
93,مطلولا,5,0,2.0,3
94,لا,3,0,2.0,3
95,تخلص,3,0,2.0,3
96,معه,3,0,2.0,3
97,الأنفاس,3,0,2.0,3
99,وكان,3,0,2.0,3
100,هو,3,0,2.0,3
101,يكره,3,0,2.0,3
102,الرطوبة,3,0,2.0,3
103,ويتقيها,3,0,2.0,3
104,ويشفق,3,0,2.0,3
105,من,3,0,2.0,3
106,عواقب,4,0,2.0,3
107,التعرض,3,0,2.0,3
108,لها,3,0,2.0,3
110,وكثيرا,3,0,2.0,3
111,ما,3,0,2.0,3
112,ثنته,4,0,2.0,3
